MUNICIPIO_CLEAN,UF,MUNICIPIO,QUANTIDADE_EMPREGOS,QUANTIDADE_ ESTABELECIMENTOS,QUANTIDADE_VISITAS_ESTIMADAS_ NACIONAL,QUANTIDADE_VISITAS_ESTIMADAS_ INTERNACIONAL,ARRECADACAO,NUM_UCS,BIOMAS_UCS,TOTAL_VISITANTES,Municipio_Clean,NUM_FOCOS,INTENSIDADE_MEDIA,INTENSIDADE_TOTAL,ANO_MIN,ANO_MAX,ESTADO_QUEIMADA,BIOMAS_QUEIMADA,CATEGORIA_UCS,LATITUDE_MUNICIPIO,LONGITUDE_MUNICIPIO,FOCOS_RAIO_100KM,DISTANCIA_MEDIA_FOCOS_KM,DISTANCIA_MIN_FOCO_KM,MUNICIPIOS_PROXIMOS_COM_FOCOS,BIOMAS_PROXIMOS,Município_Clean_x,NUM_UCS_PROTECAO_INTEGRAL,NUM_UCS_USO_SUSTENTAVEL,Município_Clean_y,CATEGORIA_UC_DETALHADA,PERC_UCS_PROTECAO_INTEGRAL,PERC_UCS_USO_SUSTENTAVEL,TEM_UC_PROTECAO_INTEGRAL,TEM_UC_USO_SUSTENTAVEL,CATEGORIA_PROXIMIDADE
abelardo luz,SC,Abelardo Luz,14,4,10515,0,0,1,Mata Atlântica,10515,abelardo luz,80.0,22.0,1760.3,2015.0,2019.0,SANTA CATARINA,Mata Atlântica,1 UC,-26.51,-52.108,80.0,55.093087217103744,25.806470758125975,4.0,Mata Atlântica,abelardo luz,1,0,abelardo luz,Estação Ecológica,100.0,0.0,1,0,Moderado
abreu e lima,PE,Abreu e Lima,13,1,3756,0,0,2,Mata Atlântica,3756,abreu e lima,1.0,36.1,36.1,2015.0,2015.0,PERNAMBUCO,Mata Atlântica,2 UCs,,,,,,,,abreu e lima,1,1,abreu e lima,"Área de Proteção Ambiental, Refúgio de Vida Silvestre",50.0,50.0,1,1,Muito_Distante
acailandia,MA,Açailândia,90,15,34643,765,543567,2,Amazônia,35408,acailandia,767.0,51.73,39678.6,2015.0,2019.0,MARANHÃO,Amazônia,2 UCs,-4.709090909090909,-47.20545454545454,80.0,84.70414080965675,71.259061969342,3.0,"Cerrado, Amazônia",acailandia,0,2,acailandia,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Distante
acari,RN,Acari,4,2,2090,0,0,1,Caatinga,2090,acari,3.0,33.87,101.6,2017.0,2019.0,RIO GRANDE DO NORTE,Caatinga,1 UC,,,,,,,,acari,0,1,acari,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
acu,RN,Açu,45,10,4430,513,218959,1,Caatinga,4943,acu,23.0,28.04,645.0,2015.0,2019.0,RIO GRANDE DO NORTE,Caatinga,1 UC,,,,,,,,acu,0,1,acu,Floresta,0.0,100.0,0,1,Muito_Distante
acucena,MG,Açucena,6,1,31978,0,0,1,Mata Atlântica,31978,acucena,82.0,55.88,4582.1,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,acucena,0,1,acucena,Parque,0.0,100.0,0,1,Muito_Distante
afogados da ingazeira,PE,Afogados da Ingazeira,43,5,54616,125,0,1,Caatinga,54741,afogados da ingazeira,16.0,33.29,532.6,2015.0,2018.0,PERNAMBUCO,Caatinga,1 UC,,,,,,,,afogados da ingazeira,1,0,afogados da ingazeira,Refúgio de Vida Silvestre,100.0,0.0,1,0,Muito_Distante
afonso claudio,ES,Afonso Cláudio,12,4,13186,111,0,13,Mata Atlântica,13297,afonso claudio,47.0,24.82,1166.4,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,6+ UCs,-20.041,-41.228,40.0,88.98704595962539,84.21671204783325,2.0,Mata Atlântica,afonso claudio,1,12,afonso claudio,"Reserva Particular do Patrimônio Natural, Monumento Natural",7.7,92.3,1,1,Distante
agua boa,MG,Água Boa,2,1,2624,0,0,1,Cerrado,2624,agua boa,843.0,44.63,37622.5,2015.0,2019.0,MATO GROSSO,"Cerrado, Mata Atlântica",1 UC,-15.534600000000001,-48.55586666666667,220.0,65.29149910638108,18.614818449275578,8.0,Cerrado,agua boa,0,1,agua boa,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Próximo
aguas da prata,SP,Águas da Prata,11,3,0,1125,0,1,Mata Atlântica,1125,aguas da prata,7.0,16.84,117.9,2015.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,,,,,,,,aguas da prata,0,1,aguas da prata,Parque,0.0,100.0,0,1,Muito_Distante
aguas de santa barbara,SP,Águas de Santa Bárbara,34,3,36116,120,0,1,Cerrado,36236,aguas de santa barbara,37.0,85.45,3161.8,2015.0,2019.0,SÃO PAULO,Cerrado,1 UC,,,,,,,,aguas de santa barbara,1,0,aguas de santa barbara,Estação Ecológica,100.0,0.0,1,0,Muito_Distante
aiuruoca,MG,Aiuruoca,8,4,21062,226,0,11,Mata Atlântica,21288,aiuruoca,34.0,25.48,866.3,2016.0,2019.0,MINAS GERAIS,Mata Atlântica,6+ UCs,,,,,,,,aiuruoca,0,11,aiuruoca,"Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural, Parque",0.0,100.0,0,1,Muito_Distante
alcobaca,BA,Alcobaça,24,12,91095,267,0,3,Área Marinha,91362,alcobaca,177.0,41.3,7310.4,2015.0,2019.0,BAHIA,Mata Atlântica,3-5 UCs,-17.4662,-39.37179999999999,40.0,77.26971768888778,67.36229207663774,2.0,Mata Atlântica,alcobaca,0,3,alcobaca,"Parque, Reserva Extrativista, Área de Proteção Ambiental",0.0,100.0,0,1,Distante
alegre,ES,Alegre,15,5,59601,0,0,2,Mata Atlântica,59601,alegre,16.0,41.68,666.8,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,2 UCs,,,,,,,,alegre,0,2,alegre,"Parque, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Distante
alegrete,RS,Alegrete,57,8,93745,1421,602859,2,Pampa,95166,alegrete,233.0,18.15,4229.6,2015.0,2019.0,RIO GRANDE DO SUL,Pampa,2 UCs,,,,,,,,alegrete,1,1,alegrete,"Área de Proteção Ambiental, Reserva Biológica",50.0,50.0,1,1,Muito_Distante
alexania,GO,Alexânia,48,8,9550,483,163254,1,Cerrado,10033,alexania,36.0,48.52,1746.6,2015.0,2019.0,GOIÁS,Cerrado,1 UC,-16.124,-48.608,100.0,67.72889630879041,31.56581625846046,4.0,Cerrado,alexania,0,1,alexania,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Moderado
alfenas,MG,Alfenas,137,15,42550,943,681136,1,Mata Atlântica,43493,alfenas,45.0,19.43,874.4,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,-21.304,-45.946666666666665,40.0,59.735187005434284,43.494997149353715,2.0,"Mata Atlântica, Cerrado",alfenas,0,1,alfenas,Área de Proteção Ambiental,0.0,100.0,0,1,Moderado
alfredo chaves,ES,Alfredo Chaves,4,2,10907,0,0,2,Mata Atlântica,10907,alfredo chaves,10.0,13.38,133.8,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,2 UCs,,,,,,,,alfredo chaves,0,2,alfredo chaves,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
almas,TO,Almas,2,2,1494,0,0,2,Cerrado,1494,almas,1205.0,57.16,68875.6,2015.0,2019.0,TOCANTINS,Cerrado,2 UCs,-11.431115384615385,-47.25323076923077,200.0,58.15483528462694,17.451009299262253,8.0,Cerrado,almas,1,1,almas,"Estação Ecológica, Reserva Particular do Patrimônio Natural",50.0,50.0,1,1,Próximo
alta floresta,MT,Alta Floresta,130,18,37445,1034,844186,2,Amazônia,38479,alta floresta,538.0,43.18,23230.5,2015.0,2019.0,MATO GROSSO,Amazônia,2 UCs,-10.15925,-56.277,40.0,82.349863192095,78.78137878742835,2.0,Amazônia,alta floresta,0,2,alta floresta,"Reserva Particular do Patrimônio Natural, Parque",0.0,100.0,0,1,Distante
altamira,PA,Altamira,165,30,20369,1940,1274213,11,Amazônia,22309,altamira,15095.0,78.01,1177528.1,2015.0,2019.0,PARÁ,Amazônia,6+ UCs,-6.882578488372093,-54.29924418604651,60.0,82.3843203714259,76.13710500745081,1.0,Amazônia,altamira,2,9,altamira,"Estação Ecológica, Floresta, Parque, Reserva Biológica, Reserva Extrativista, Área de Proteção Ambiental",18.2,81.8,1,1,Distante
alto araguaia,MT,Alto Araguaia,24,4,24117,111,0,3,Cerrado,24228,alto araguaia,511.0,62.24,31802.8,2015.0,2019.0,MATO GROSSO,Cerrado,3-5 UCs,-17.375300000000003,-53.4168,60.0,54.55060125333775,12.701764478537775,2.0,Cerrado,alto araguaia,0,3,alto araguaia,Área de Proteção Ambiental,0.0,100.0,0,1,Próximo
alto caparao,MG,Alto Caparaó,11,4,0,388,0,1,Mata Atlântica,388,alto caparao,5.0,47.86,239.3,2016.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,alto caparao,0,1,alto caparao,Parque,0.0,100.0,0,1,Muito_Distante
alto paraiso de goias,GO,Alto Paraíso de Goiás,234,36,42941,5534,2106191,14,Cerrado,48475,alto paraiso de goias,400.0,50.79,20314.1,2015.0,2019.0,GOIÁS,Cerrado,6+ UCs,-14.280785714285715,-47.55442857142857,100.0,43.16234676536244,9.443340544845192,4.0,Cerrado,alto paraiso de goias,0,14,alto paraiso de goias,"Parque, Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Próximo
alto parnaiba,MA,Alto Parnaíba,4,1,0,186,0,2,Cerrado,186,alto parnaiba,3788.0,65.42,247819.5,2015.0,2019.0,MARANHÃO,Cerrado,2 UCs,-9.6099375,-46.210275,200.0,48.400797563692585,8.091085365913434,3.0,Cerrado,alto parnaiba,0,2,alto parnaiba,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Próximo
altonia,PR,Altônia,7,2,0,111,0,2,Mata Atlântica,111,altonia,55.0,65.6,3607.9,2015.0,2019.0,PARANÁ,Mata Atlântica,2 UCs,-23.866,-54.027,60.0,59.675178568748855,26.92933120095821,3.0,Mata Atlântica,altonia,0,2,altonia,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Moderado
amontada,CE,Amontada,22,9,19755,3485,138226,1,Caatinga,23240,amontada,232.0,46.51,10790.7,2015.0,2019.0,CEARÁ,Caatinga,1 UC,-3.0911666666666666,-39.72866666666667,80.0,56.37866368077469,20.286385119035707,4.0,Caatinga,amontada,0,1,amontada,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Próximo
amparo,SP,Amparo,120,9,19885,2085,1132273,3,Mata Atlântica,21970,amparo,56.0,36.11,2022.4,2015.0,2019.0,SÃO PAULO,"Mata Atlântica, Caatinga",3-5 UCs,-22.633666666666667,-46.812333333333335,20.0,75.56293896384848,75.56293896384848,1.0,Mata Atlântica,amparo,0,3,amparo,"Área de Proteção Ambiental, Reserva Particular do Patrimônio Natural",0.0,100.0,0,1,Distante
